S/NO,PHASE,NAME OF ANALYST,"DOCUMENT TYPE (book, Journal article, Report, Statutes, Newspaper)",TITTLE OF PUBLICATION,AUTHOR,APPLICABLE NOMENCLATURE(KEY NAME USED),YEAR OF PUBLICATION,NATIONALITY/ORIGIN/EXTRACTION OF AUTHOR,CONTINENT OF STUDY,SECTION OF THE ARTICLE ANALYSED,BRIEF DESCRIPTION OF THE ARTICLE,"DESCRIPTIVE TERMS/ADJECTIVES/ADJECTIVAL PHRASES (e.g. filthy, dirty, undesirable)",POSITIONALITY OF ARTICLE,USE OF STATISTICS,SOURCE OF STATISTICS,CITE 'UN-habitat 2003 STUDY ON SLUMS',"CATEGORISATION OF PUBLICATION( descriptive, diagnostic(identify problems), Prescriptive, theoretical)","Descriptive studies( nature of slums(conceptualization), health concerns, housing, water, sanitation, nutrition,land, approaches to slum Upgrading)","Diagnostic (strategies, policy gaps/challenges, tenure concerns, public health concerns, environmental concerns, marginalisation(inclusion, exclusion)]","Prescriptive[inclusivity/tackling marginalisation, slum upgrading/improvement, security improvement,","Theoretical( theories, liberal/neo-liberal theories, colonial/post colonial theories, political economy)",REFERENCE{MENDELEY},SOURCE/WEB LINK
679,II,SIAMA PHILBERT,Journal,Doing Survival: Strategies for Coping With Gender-Based Violence in Kenya's Kibera Slum,Swart E,Slums,2013,European,European,Abstract,"Discusses the current study's analysis of coping strategies for gender-based violence among 20 women residents of Kibera, Kenya, the largest slum in sub-Saharan Africa. The study identifies three distinct coping strategies: endurance and faith, escape, and limited partnership. It also highlights that previous qualitative studies in this population have reported acceptance of gender-based violence due to factors like lack of education and patriarchal social norms. The current study suggests that coping strategies may sometimes be agential choices made by women navigating a complex web of structural oppression.","violence, crime,impoverished,marginalised, congested settlements,infrastructural scarcity",Negative,No,"sampling, interviewing",No,Diagnostic,"Conceptualization,marginalisation","planning, policy gaps","improvement of security, slum upgrading, improvement of livelihood",-,,http://dx.doi.org/10.1177/0886109912470111
680,II,SIAMA PHILBERT,Journal,"From Squatter Settlement to Suburb: The Transformation of Bathore, Albania",Dorina Pojani,Informal Settlements,2013,Asian,Asian,Abstract,"Bathore was formed in the early 1990s by poor Squatter Settlements, mostly from rural northern Albania, a region that became impoverished and lost most services after the fall of communism in 1990. The area that the Squatter Settlements occupied lacked all infrastructure.","impoverished,scarcity",Negative,Yes,"Sampling, interviewing",No,Diagnostic,"Conceptualization,marginalisation","planning, policy gaps",-,-,,Taylor & Francis Online
681,II,SIAMA PHILBERT,Journal,"Squatter Settlements an Urban Menace in Zimbabwe?
Examining Factors behind the Continued Resurfacing of
Squatter Settlements in Epworth Suburb, Harare","Prince Daniel
, Ignatius Gutsa
, Naume Zorodzai",Informal Settlements,2013,African,African,Introduction,"Findings show that a number of
factors ranging from escaping high rentals, increasing family sizes and escaping the impacts of Operation Murambatsvina were some of
the factors that are behind the continued resurfacing of squatter settlements in Epworth. Furthermore a number of challenges are being
faced by the squatter residents ranging from poor sanitation services to the challenge of social vices in the area.","Impoverished, filthy, indecent, disourganized, scarcity",Negative,Yes,"Sampling, interviewing",No,Diagnostic,"nutrition, conceptualization of slums","policy gaps, planning,public health",-,-,,EPworth
682,II,SIAMA PHILBERT,Journal,Informalising Architecture: The Challenge of Informal Settlements,Kim Dovey,Informal Settlements,2013,Australian,Australian,Introduction,"informal settlements which have grown up globally out of immediate need for shelter and community, and are legally precarious, transgress established codes of land tenure, urban planning, design and construction. Their condition requires transgression, even if they are subversion through necessity rather than by design.","scarcity, impoverished, filthy",Negative,Yes,Sampling.interviewing,No,Diagnostic,"poverty,conceptualization of slums","planning, policy gaps",Slum upgrading,-,,Wiley Online Library
683,II,SIAMA PHILBERT,Journal,Flood risk assessment for informal settlements,"R. De Risi, F. Jalayer, F. De Paola, I. Iervolino, M. Giugni, M. E. Topa, E. Mbuya, A. Kyessi, G. Manfredi , P. Gasparini",Informal Settlements,2013,Asian,Asian,Introduction,"The urban informal settlements are particularly vulnerable to flooding events, due to both their generally poor quality of construction and high population density.","scarcity, impoverished, filthy",Negative,Yes,"Sampling, interviewing",No,Diagnostic,"Conceptualization,marginalisation","planning, policy gaps",-,-,,Springer Link
684,II,SIAMA PHILBERT,Journal,"Residential Satisfaction in China's Informal Settlements: A Case Study of Beijing, Shanghai, and Guangzhou","Zhigang Li , Fulong Wu",Informal Settlements,2013,Asian,Asian,Abstract,"...are often characterized by official media as dirty, chaotic, and dangerous places that are unsalvageable and should be demolished.","dirty, diseased, chaotic, dangerous",Negative,Yes,"Sampling, Interviewing",No,Diagnostic,"nutrition, conceptualization of slums","policy gaps, planning,public health",-,-,,Taylor & Francis Online
685,II,SIAMA PHILBERT,Journal,Factors influencing selection of drinking water technologies for urban informal settlements in Kampala,"Jennifer Isoke, Meine Pieter van Dijk",Informal Settlements,2013,African,African,Introduction,Access to drinking water in urban informal settlements of developing countries still remains a challenge for the poor and depends on technology selected.,"Scarcity, filthy, dirty",Negative,Yes,"Sampling, interviewing",No,Diagnostic,"poverty,conceptualization of slums","planning, policy gaps",Slum upgrading,-,,Wiley Online Library
686,II,SIAMA PHILBERT,Journal,The Economics of Slums in the Developing World,"Benjamin Marx,
Thomas Stoker,
Tavneet Suri",Informal Settlements,2013,African,African,Abstract,...type of poverty observed in contemporary slums of the developing world is characteristic of that described in the literature on poverty traps.,"impoverished, filthy, dirty",Negative,Yes,"Sampling, interviewing",No,Diagnostic,"Conceptualization,marginalisation","planning, policy gaps",-,-,,Africann Economic Association
687,II,SIAMA PHILBERT,Journal,Planet of Slums,MIKE DAVIS,Informal Settlements,2013,North American,North American,Abstract,"...condition today encompasses many realities, from the glittering generic city-state of Singapore to the slums climbing up the hillsides around Mexico City or Sao Paulo. In these spaces we work, love and live out the intimate moments of our lives. In these spaces we consume and spew out climate warming gases.","opportunity-rich, social cohesion, filthy, indecent",Negative,Yes,"Sampling, interviewing",No,Diagnostic,"nutrition, conceptualization of slums","policy gaps, planning,public health",-,-,,Wiley Online Library
688,II,SIAMA PHILBERT,Book,Locating Right to the City in the Global South,Mona Fawaz,Informal Settlements,2013,African,African,Chapter 1,"A common thread in the public responses of policy makers and the news covergae was the criminalization of those who had built in violation of property, building and/or urnam regulations","illegal, violence,dangerous, problematic, disorganised.",Negative,Yes,-,No,Diagnostic,"poverty,conceptualization of slums","planning, policy gaps",Slum upgrading,-,,Google Books
689,II,SIAMA PHILBERT,Report,The dynamics of informal settlements upgrading in South Africa,Alhassan Ziblim,Informal Settlements,2013,Asian,Asian,Introduction,"Households live in Infromal settlements under very precarious conditions which pose serious threat to their health, safety and security facilitationg the need to eradicate informal settlements","filthy, dirty, disorganized, impoverished, unhealthy, eradicated",Negative,Yes,"Sampling, interviewing",No,Diagnostic,"poverty,conceptualization of slums","planning, policy gaps",Slum upgrading,-,,CEU EDU
690,II,SIAMA PHILBERT,Journal,THE SHANTY TOWNS OF CENTRAL BOMBAY,Alan Eyre,Informal Settlements,2013,Asian,Asian,Abstract,"Three illegal shanty towns near Mahim Creek and the international Airport in central Bombay house a million people, including many migrants. Despite deplorable living conditions, these settlements are seen as a solution by residents due to convenient locations and employment opportunities. Government policies are often inconsistent, and the environmental degradation in the migration hinterland is widespread. A shanty-town population of nearly 11 million in greater Bombay within the next eleven years is expected, requiring serious planning to prevent a catastrophe.","deplorable conditions,illegal, unhealthy, filthy, dirty,",Negative,Yes,-,No,Diagnostic,"poverty,conceptualization of slums","planning, policy gaps",Slum upgrading,-,,Taylor & Francis Online
691,II,SIAMA PHILBERT,Book,Public Space in Informal Settlements: The Barrios of Bogotá,Jaime Hernández-García,Slums,2013,European,European,Introduction,"This book is about informal settlements in Bogota. It is an enquiry into public spaces: what they are, how they work, and what they mean to people.","impoverished,disorderly, disorganised, illegal developments",Negative,Yes,-,No,Diagnostic,"Conceptualization,marginalisation","planning, policy gaps",-,-,,"https://www.researchgate.net/publication/338178417_Public_Space_in_Informal_Settlements_the_Barrios_of_Bogota#:~:text=This%20book%20is%20about%20informal,what%20they%20mean%20to%20people.&text=Front.&text=Content%20may%20be%20subject%20to%20copyright."
